,(1) Tatoeba,(2) Tatoeba+Word,(3) Tatoeba+Stress+Word,(4) Tatoeba+NewsPH,(5) Tatoeba+NewsPH+Word,(6) Tatoeba+NewsPH+Stress,(7) Tatoeba+NewsPH+Stress+Word,(8) $\hookrightarrow$ 30\% prune ,(9) $\hookrightarrow$ 50\% prune ,(10) Base CharsiuG2P,(11) Epitran
(1) Tatoeba,,0.020920861448250137,1.1995271835853763e-10,0.0005616685948646949,4.434434380188668e-06,3.288298601815489e-16,4.1794687912634597e-13,3.484916836294644e-16,2.6077489304226522e-12,3.667348830147467e-93,1.7839736789105363e-91
(2) Tatoeba+Word,,,1.738459923088036e-07,0.20461109352971663,0.004180499336593369,2.8030069203937102e-11,4.529521472060557e-09,3.7853982169485354e-11,3.7519861229903607e-16,3.45122629584516e-93,3.311873174522736e-92
(3) Tatoeba+Stress+Word,,,,2.56371728014745e-05,0.0015452706402894671,0.03304353981083259,0.3038459421238967,0.03738047923164055,4.80958454973341e-27,3.6734510651983854e-93,1.986002313816408e-92
(4) Tatoeba+NewsPH,,,,,0.03377627921916656,4.598634123892876e-09,8.338244773785056e-07,3.4233158960125806e-08,2.295466589690215e-19,5.729405709375841e-93,5.3358755786904697e-92
(5) Tatoeba+NewsPH+Word,,,,,,2.208942662617284e-06,0.0002602482679235188,6.605829491304875e-06,1.4161302046445988e-22,5.637591415438146e-93,3.4008974205370485e-92
(6) Tatoeba+NewsPH+Stress,,,,,,,0.08829288673677067,0.7838563386339005,4.542184040206981e-34,3.357811605659188e-93,1.3338019071564679e-92
(7) Tatoeba+NewsPH+Stress+Word,,,,,,,,0.11527841700477373,7.940122683158593e-32,3.3839109023118612e-93,1.3624942830889113e-92
(8) $\hookrightarrow$ 30\% prune ,,,,,,,,,2.5271494205064743e-36,3.332003141025848e-93,1.3370204591679191e-92
(9) $\hookrightarrow$ 50\% prune ,,,,,,,,,,2.2466743440654135e-83,1.2990631566465e-76
(10) Base CharsiuG2P,,,,,,,,,,,3.1720986139287397e-80
(11) Epitran,,,,,,,,,,,
