,(1) Tatoeba,(2) Tatoeba+Word,(3) Tatoeba+Stress+Word,(4) Tatoeba+NewsPH,(5) Tatoeba+NewsPH+Word,(6) Tatoeba+NewsPH+Stress,(7) Tatoeba+NewsPH+Stress+Word,(8) $\hookrightarrow$ 30\% prune ,(9) $\hookrightarrow$ 50\% prune ,(10) Base CharsiuG2P,(11) Epitran
(1) Tatoeba,,12184.0,18147.5,15928.5,15905.5,11967.5,13465.0,11883.0,23080.0,41.5,412.0
(2) Tatoeba+Word,,,19124.0,20527.0,18268.0,15092.5,15968.0,13869.5,22169.5,100.5,170.0
(3) Tatoeba+Stress+Word,,,,18454.0,20436.0,6888.5,6527.5,7410.0,13927.5,41.5,215.5
(4) Tatoeba+NewsPH,,,,,7880.0,12618.5,16556.5,12186.5,16349.5,54.5,258.5
(5) Tatoeba+NewsPH+Word,,,,,,14777.0,17454.0,13345.0,13473.5,51.5,245.0
(6) Tatoeba+NewsPH+Stress,,,,,,,4820.5,6200.5,9603.5,25.0,141.5
(7) Tatoeba+NewsPH+Stress+Word,,,,,,,,4366.5,10679.5,26.5,145.5
(8) $\hookrightarrow$ 30\% prune ,,,,,,,,,7317.5,23.5,142.0
(9) $\hookrightarrow$ 50\% prune ,,,,,,,,,,4111.5,6953.5
(10) Base CharsiuG2P,,,,,,,,,,,3228.0
(11) Epitran,,,,,,,,,,,
