,(1) Tatoeba,(2) Tatoeba+Word,(3) Tatoeba+Stress+Word,(4) Tatoeba+NewsPH,(5) Tatoeba+NewsPH+Word,(6) Tatoeba+NewsPH+Stress,(7) Tatoeba+NewsPH+Stress+Word,(8) $\hookrightarrow$ 30\% prune ,(9) $\hookrightarrow$ 50\% prune ,(10) Base CharsiuG2P,(11) Epitran
(1) Tatoeba,,0.3270891239399908,7.29620713660591e-07,0.10149363792494201,0.018533179109219446,5.055080376557579e-10,5.246338274819297e-11,3.3601609623953734e-09,6.519090518555326e-13,8.652703891595565e-92,4.789721363324888e-87
(2) Tatoeba+Word,,,3.1878676316130384e-06,0.44766667370107616,0.15231028204399574,1.1428819931527855e-09,2.087242812324002e-10,5.553558033247984e-08,3.910190573761574e-14,2.80204173491357e-92,2.08766515444003e-87
(3) Tatoeba+Stress+Word,,,,1.559475161429856e-05,9.406503357722679e-05,0.13398830743925422,0.050527950437011734,0.3103715890886264,7.13215532470218e-24,1.9234671262783896e-92,1.341259320816313e-87
(4) Tatoeba+NewsPH,,,,,0.2630288525055561,3.495093388305682e-09,5.789407499357794e-10,1.2769425658645875e-07,4.8016966186275766e-17,2.8021294084709932e-92,2.5340573082091017e-87
(5) Tatoeba+NewsPH+Word,,,,,,1.3597330178879717e-08,4.333809621902856e-09,4.1720940650162867e-07,2.203399897674858e-18,2.80068056477936e-92,2.388903565339555e-87
(6) Tatoeba+NewsPH+Stress,,,,,,,0.5165733000744517,0.9091364677007879,3.636715822118608e-25,2.8102509950334082e-92,2.8891655628065398e-87
(7) Tatoeba+NewsPH+Stress+Word,,,,,,,,0.4016242525037026,4.228530155951074e-27,2.1846205743406254e-92,4.385615206323034e-88
(8) $\hookrightarrow$ 30\% prune ,,,,,,,,,6.310062738089849e-27,1.0378231560921528e-92,6.955876574639482e-88
(9) $\hookrightarrow$ 50\% prune ,,,,,,,,,,9.968940099001349e-80,5.195746528716975e-59
(10) Base CharsiuG2P,,,,,,,,,,,1.1104825405980224e-74
(11) Epitran,,,,,,,,,,,
