,(1) Tatoeba,(2) Tatoeba+Word,(3) Tatoeba+Stress+Word,(4) Tatoeba+NewsPH,(5) Tatoeba+NewsPH+Word,(6) Tatoeba+NewsPH+Stress,(7) Tatoeba+NewsPH+Stress+Word,(8) $\hookrightarrow$ 30\% prune ,(9) $\hookrightarrow$ 50\% prune ,(10) Base CharsiuG2P,(11) Epitran
(1) Tatoeba,,0.4215974880581441,1.6255275266553782e-06,0.11529894870659463,0.07717897154785394,5.526470490848149e-09,1.6280748107367257e-10,9.159488306979088e-09,1.7964253857757982e-11,4.767273319680809e-92,2.8490300531867514e-88
(2) Tatoeba+Word,,,7.306226251662256e-06,0.33411978713881896,0.21959623251005345,2.6175669472062998e-08,6.708672987444527e-10,1.213541103785329e-07,6.231532812266402e-12,2.6134582920160844e-92,1.7550984645258017e-88
(3) Tatoeba+Stress+Word,,,,2.1919288856258206e-05,3.505163946329675e-05,0.307740996163399,0.06496998837830047,0.37402378150316284,1.4892417028818491e-21,1.3758377842853858e-92,1.7318580865608198e-88
(4) Tatoeba+NewsPH,,,,,0.5280057233288977,4.868428616385519e-08,1.9716674847720827e-09,5.480136942175466e-07,2.3678093532273777e-15,2.9602669926473414e-92,4.7198753847854356e-88
(5) Tatoeba+NewsPH+Word,,,,,,3.8461530033691145e-08,2.5615057350491257e-09,4.3382144394906484e-07,1.0305315930216458e-15,2.8968255450345095e-92,3.4407100682993454e-88
(6) Tatoeba+NewsPH+Stress,,,,,,,0.4199092764810114,0.9178495007159357,2.712839995042585e-22,2.252659872778158e-92,6.353650797481222e-88
(7) Tatoeba+NewsPH+Stress+Word,,,,,,,,0.41072510868782,4.945556099237328e-25,1.5441710603997898e-92,2.6293587606505424e-89
(8) $\hookrightarrow$ 30\% prune ,,,,,,,,,2.1834612556897384e-25,1.2783312741639008e-92,1.0393163318556422e-88
(9) $\hookrightarrow$ 50\% prune ,,,,,,,,,,1.7786867976289334e-69,4.004331172644348e-58
(10) Base CharsiuG2P,,,,,,,,,,,2.661498855634802e-22
(11) Epitran,,,,,,,,,,,
