,(1) Tatoeba,(2) Tatoeba+Word,(3) Tatoeba+Stress+Word,(4) Tatoeba+NewsPH,(5) Tatoeba+NewsPH+Word,(6) Tatoeba+NewsPH+Stress,(7) Tatoeba+NewsPH+Stress+Word,(8) $\hookrightarrow$ 30\% prune ,(9) $\hookrightarrow$ 50\% prune ,(10) Base CharsiuG2P,(11) Epitran
(1) Tatoeba,,2063.5,5567.0,5587.5,5262.5,4063.5,3258.0,3575.0,7994.5,167.0,576.0
(2) Tatoeba+Word,,,5876.0,6331.5,6400.5,4191.5,3351.0,4091.5,8458.0,56.0,765.5
(3) Tatoeba+Stress+Word,,,,4180.0,3840.5,1100.0,871.0,1953.5,3142.0,7.0,418.0
(4) Tatoeba+NewsPH,,,,,1565.0,2270.0,2050.5,2309.5,4492.5,79.0,667.0
(5) Tatoeba+NewsPH+Word,,,,,,1968.5,1877.5,1925.0,4340.0,75.0,610.0
(6) Tatoeba+NewsPH+Stress,,,,,,,725.0,1260.0,2976.5,168.0,790.0
(7) Tatoeba+NewsPH+Stress+Word,,,,,,,,917.0,2215.0,98.0,148.0
(8) $\hookrightarrow$ 30\% prune ,,,,,,,,,1627.5,63.0,463.0
(9) $\hookrightarrow$ 50\% prune ,,,,,,,,,,10556.0,14518.0
(10) Base CharsiuG2P,,,,,,,,,,,39724.5
(11) Epitran,,,,,,,,,,,
